,timestamp,close_spy,high_spy,low_spy,open_spy,volume_spy
0,2026-03-19 13:30:00+00:00,655.8499755859375,657.0,655.1699829101562,656.969970703125,5070007
1,2026-03-19 13:31:00+00:00,656.1300048828125,656.1799926757812,655.3499755859375,655.8400268554688,870291
2,2026-03-19 13:32:00+00:00,656.1099853515625,656.8099975585938,656.0999755859375,656.1500244140625,577828
3,2026-03-19 13:33:00+00:00,656.0700073242188,656.5800170898438,655.8900146484375,656.1099853515625,538372
4,2026-03-19 13:34:00+00:00,656.1749877929688,656.4000244140625,655.77001953125,656.0599975585938,636433
5,2026-03-19 13:35:00+00:00,655.3499755859375,656.1799926757812,655.3200073242188,656.1749877929688,839666
6,2026-03-19 13:36:00+00:00,655.7000122070312,655.8300170898438,655.3800048828125,655.3800048828125,436498
7,2026-03-19 13:37:00+00:00,656.1500244140625,656.1699829101562,655.469970703125,655.7000122070312,412343
8,2026-03-19 13:38:00+00:00,656.4600219726562,656.6799926757812,655.8200073242188,656.1500244140625,394150
9,2026-03-19 13:39:00+00:00,656.239990234375,657.0,656.02001953125,656.4099731445312,494374
10,2026-03-19 13:40:00+00:00,656.3300170898438,656.9000244140625,656.010009765625,656.239990234375,621490
11,2026-03-19 13:41:00+00:00,657.3699951171875,657.4199829101562,656.2100219726562,656.3099975585938,396712
12,2026-03-19 13:42:00+00:00,657.1900024414062,657.3900146484375,656.7550048828125,657.3699951171875,380361
13,2026-03-19 13:43:00+00:00,657.3699951171875,657.4099731445312,656.9481201171875,657.1900024414062,282562
14,2026-03-19 13:44:00+00:00,657.3400268554688,657.6500244140625,657.114990234375,657.3599853515625,361123
15,2026-03-19 13:45:00+00:00,657.2501220703125,657.4199829101562,656.72998046875,657.3300170898438,554668
16,2026-03-19 13:46:00+00:00,656.6300048828125,657.5399780273438,656.6209106445312,657.25,588395
17,2026-03-19 13:47:00+00:00,656.8699951171875,657.3099975585938,656.5599975585938,656.6099853515625,315119
18,2026-03-19 13:48:00+00:00,657.094970703125,657.52001953125,656.8599853515625,656.8800048828125,241045
19,2026-03-19 13:49:00+00:00,657.9324951171875,657.9600219726562,657.1199951171875,657.1199951171875,400950
20,2026-03-19 13:50:00+00:00,658.5999755859375,658.6699829101562,657.6900024414062,657.9299926757812,276250
21,2026-03-19 13:51:00+00:00,658.5659790039062,658.7000122070312,658.22998046875,658.5999755859375,394382
22,2026-03-19 13:52:00+00:00,658.3099975585938,658.7000122070312,657.969970703125,658.5900268554688,243513
23,2026-03-19 13:53:00+00:00,658.3250122070312,658.52001953125,658.0900268554688,658.2999877929688,596152
24,2026-03-19 13:54:00+00:00,658.7999877929688,658.9600219726562,658.219970703125,658.3099975585938,237430
25,2026-03-19 13:55:00+00:00,658.0999755859375,658.8300170898438,658.0,658.7999877929688,272452
26,2026-03-19 13:56:00+00:00,658.3300170898438,658.419677734375,658.0800170898438,658.0900268554688,176115
27,2026-03-19 13:57:00+00:00,657.969970703125,658.3699951171875,657.8400268554688,658.3300170898438,279429
28,2026-03-19 13:58:00+00:00,658.280029296875,658.3300170898438,657.8599853515625,657.969970703125,135498
29,2026-03-19 13:59:00+00:00,658.6799926757812,658.7000122070312,658.010009765625,658.27001953125,162755
30,2026-03-19 14:00:00+00:00,659.1699829101562,659.1699829101562,658.2999877929688,658.6599731445312,299475
31,2026-03-19 14:01:00+00:00,658.9199829101562,659.1599731445312,658.7249755859375,659.1599731445312,174444
32,2026-03-19 14:02:00+00:00,658.9099731445312,659.0499877929688,658.5399780273438,658.9199829101562,171762
33,2026-03-19 14:03:00+00:00,658.9099731445312,659.1300048828125,658.760009765625,658.9400024414062,163825
34,2026-03-19 14:04:00+00:00,658.3300170898438,658.9400024414062,658.1900024414062,658.9000244140625,176547
